Name,Watched Date,Year,Rewatch
Day of the Dead,02/24/2021 00:00:00,1985,Yes
Lost Highway,02/26/2021 00:00:00,1997,
L'Avventura,02/27/2021 00:00:00,1960,
Xtro,02/28/2021 00:00:00,1982,
Welcome to the Dollhouse,03/01/2021 00:00:00,1995,
WarGames,03/02/2021 00:00:00,1983,
The Entity,03/03/2021 00:00:00,1982,
Dude Bro Party Massacre III,03/04/2021 00:00:00,2015,
The Transporter,03/05/2021 00:00:00,2002,
Judas and the Black Messiah,03/06/2021 00:00:00,2021,
Dr. Jekyll and Mr. Hyde,03/07/2021 00:00:00,1920,
Shaun of the Dead,03/08/2021 00:00:00,2004,
Strange Invaders,03/09/2021 00:00:00,1983,
Good Time,03/10/2021 00:00:00,2017,Yes
The Outlaw Josey Wales,03/11/2021 00:00:00,1976,
Turbo Kid,03/13/2021 00:00:00,2015,
The Lady Eve,03/14/2021 00:00:00,1941,
The Odd Couple,03/15/2021 00:00:00,1968,
Salt,03/18/2021 00:00:00,2010,
Shooter,03/19/2021 00:00:00,2007,
The Meetings of Anna,03/21/2021 00:00:00,1978,
American Honey,03/22/2021 00:00:00,2016,
Jay and Silent Bob Strike Back,03/23/2021 00:00:00,2001,
The Mechanic,03/24/2021 00:00:00,1972,
Symbiopsychotaxiplasm: Take One,03/25/2021 00:00:00,1968,
The Night of the Hunter,03/26/2021 00:00:00,1955,
Toy Story 2,03/27/2021 00:00:00,1999,
Moana,03/28/2021 00:00:00,2016,
Bringing Up Baby,03/29/2021 00:00:00,1938,
Gaslight,03/30/2021 00:00:00,1944,
The Beach Bum,03/31/2021 00:00:00,2019,Yes
The Lego Batman Movie,04/01/2021 00:00:00,2017,
Cherry,04/02/2021 00:00:00,2021,
The SpongeBob Movie: Sponge on the Run,04/03/2021 00:00:00,2020,
Candyman,04/05/2021 00:00:00,1992,Yes
Godzilla vs. Kong,04/06/2021 00:00:00,2021,
Daisies,04/07/2021 00:00:00,1966,
Shiva Baby,04/08/2021 00:00:00,2020,
Punch-Drunk Love,04/09/2021 00:00:00,2002,Yes
Re-Animator,04/10/2021 00:00:00,1985,
Ginger Snaps,04/11/2021 00:00:00,2000,
Electric Dreams,04/12/2021 00:00:00,1984,
The Dead Don't Die,04/13/2021 00:00:00,2019,
It,04/15/2021 00:00:00,2017,Yes
Naked,04/16/2021 00:00:00,1993,
Nobody,04/17/2021 00:00:00,2021,
Porky's,04/18/2021 00:00:00,1981,
The Florida Project,04/20/2021 00:00:00,2017,
Riders of Justice,04/21/2021 00:00:00,2020,
Jennifer's Body,04/22/2021 00:00:00,2009,
Magic Mike XXL,04/23/2021 00:00:00,2015,
Big Fish,04/24/2021 00:00:00,2003,
Pontypool,04/25/2021 00:00:00,2008,
Dawn of the Dead,04/26/2021 00:00:00,2004,Yes
"Yes, God, Yes",04/28/2021 00:00:00,2019,
Uncut Gems,04/29/2021 00:00:00,2019,
The Master,04/30/2021 00:00:00,2012,
Concrete Cowboy,05/01/2021 00:00:00,2020,
I Walked with a Zombie,05/02/2021 00:00:00,1943,
I Know Where I'm Going!,05/03/2021 00:00:00,1945,
THX 1138,05/04/2021 00:00:00,1971,
No Country for Old Men,05/05/2021 00:00:00,2007,Yes
Invasion of the Body Snatchers,05/06/2021 00:00:00,1956,
The Far Country,05/07/2021 00:00:00,1954,
The Mitchells vs. The Machines,05/08/2021 00:00:00,2021,
My Night at Maud's,05/10/2021 00:00:00,1969,
The Apartment,05/11/2021 00:00:00,1960,
The Mitchells vs. The Machines,05/17/2021 00:00:00,2021,Yes
Days of Heaven,05/18/2021 00:00:00,1978,
Fritz the Cat,05/19/2021 00:00:00,1972,
Those Who Wish Me Dead,05/20/2021 00:00:00,2021,
Army of the Dead,05/23/2021 00:00:00,2021,
Angst,05/24/2021 00:00:00,1983,
American Honey,05/25/2021 00:00:00,2016,Yes
Fear and Loathing in Las Vegas,05/26/2021 00:00:00,1998,
American Psycho,05/28/2021 00:00:00,2000,
"Sherlock, Jr.",05/29/2021 00:00:00,1924,
Jimmy Neutron: Boy Genius,05/30/2021 00:00:00,2001,
Bo Burnham: Inside,05/31/2021 00:00:00,2021,
Bo Burnham: Inside,06/01/2021 00:00:00,2021,Yes
Dear Zachary: A Letter to a Son About His Father,06/02/2021 00:00:00,2008,
(500) Days of Summer,06/03/2021 00:00:00,2009,
After Hours,06/04/2021 00:00:00,1985,
It's Such a Beautiful Day,06/05/2021 00:00:00,2012,
About Time,06/07/2021 00:00:00,2013,
Hot Rod,06/08/2021 00:00:00,2007,
City of Gold,06/10/2021 00:00:00,2015,
Heathers,06/11/2021 00:00:00,1989,Yes
In the Heights,06/12/2021 00:00:00,2021,
Election,06/13/2021 00:00:00,1999,
Electra Glide in Blue,06/17/2021 00:00:00,1973,
Nightcrawler,06/18/2021 00:00:00,2014,
Luca,06/20/2021 00:00:00,2021,
Repo Man,06/21/2021 00:00:00,1984,
Akira,06/22/2021 00:00:00,1988,
Streets of Fire,06/23/2021 00:00:00,1984,
The Spectacular Now,06/24/2021 00:00:00,2013,
Poison,06/25/2021 00:00:00,1991,
The Conjuring,06/26/2021 00:00:00,2013,
Ravenous,06/27/2021 00:00:00,2017,
Splendor,06/28/2021 00:00:00,1999,
Killing Them Softly,06/29/2021 00:00:00,2012,
The Conjuring 2,07/02/2021 00:00:00,2016,
Zombieland,07/04/2021 00:00:00,2009,
Cat People,07/05/2021 00:00:00,1942,
Flipped,07/06/2021 00:00:00,2010,
Not Another Teen Movie,07/07/2021 00:00:00,2001,
The Clovehitch Killer,07/08/2021 00:00:00,2018,
My Darling Clementine,07/09/2021 00:00:00,1946,
Pinocchio,07/10/2021 00:00:00,1940,
Black Widow,07/11/2021 00:00:00,2021,
The 400 Blows,07/13/2021 00:00:00,1959,
"Monsters, Inc.",07/14/2021 00:00:00,2001,
Mystic Pizza,07/16/2021 00:00:00,1988,
The Sound of Fury,07/18/2021 00:00:00,1950,
Peeping Tom,07/19/2021 00:00:00,1960,
Theorem,07/20/2021 00:00:00,1968,
Deadlock,07/21/2021 00:00:00,1970,
Phantom of the Paradise,07/22/2021 00:00:00,1974,
Land of the Dead,07/25/2021 00:00:00,2005,Yes
Shaun of the Dead,07/27/2021 00:00:00,2004,Yes
Luca,07/29/2021 00:00:00,2021,Yes
Sartana's Here... Trade Your Pistol for a Coffin,07/30/2021 00:00:00,1970,
Teen Beach Movie,07/31/2021 00:00:00,2013,
The Fast and the Furious,08/02/2021 00:00:00,2001,
2 Fast 2 Furious,08/03/2021 00:00:00,2003,
Elektra,08/04/2021 00:00:00,2005,
The Dark Crystal,08/06/2021 00:00:00,1982,
Pride & Prejudice,08/07/2021 00:00:00,2005,
Vivo,08/08/2021 00:00:00,2021,
Fear Street: 1994,08/11/2021 00:00:00,2021,
The Karate Kid,08/12/2021 00:00:00,1984,
Friday the 13th Part III,08/13/2021 00:00:00,1982,
Cry-Baby,08/14/2021 00:00:00,1990,
Big Trouble in Little China,08/15/2021 00:00:00,1986,
Lost in Translation,08/16/2021 00:00:00,2003,
Nuns on the Run,08/17/2021 00:00:00,1990,
The Fast and the Furious: Tokyo Drift,08/18/2021 00:00:00,2006,
Election,08/21/2021 00:00:00,1999,Yes
To All the Boys I've Loved Before,08/22/2021 00:00:00,2018,
Fear Street: 1978,08/23/2021 00:00:00,2021,
The Machinist,08/24/2021 00:00:00,2004,
"Steamboat Bill, Jr.",08/26/2021 00:00:00,1928,
Nocturnal Animals,08/28/2021 00:00:00,2016,
Heavy,08/29/2021 00:00:00,1995,
Fast & Furious,09/03/2021 00:00:00,2009,
School of Rock,09/05/2021 00:00:00,2003,
The Driller Killer,09/07/2021 00:00:00,1979,
Virus,09/09/2021 00:00:00,1980,
But I'm a Cheerleader,09/10/2021 00:00:00,1999,
Cop Car,09/11/2021 00:00:00,2015,
Slacker,09/12/2021 00:00:00,1990,
Kate,09/13/2021 00:00:00,2021,
The Edge of Seventeen,09/14/2021 00:00:00,2016,
Sex Drive,09/15/2021 00:00:00,2008,
Escape From Alcatraz,09/16/2021 00:00:00,1979,
The Babysitter,09/17/2021 00:00:00,2017,
The Wackiest Wagon Train In The West,09/18/2021 00:00:00,1976,
The Monster Squad,09/19/2021 00:00:00,1987,
Paper Moon,09/20/2021 00:00:00,1973,
Harold and Maude,09/21/2021 00:00:00,1971,
Rewind,09/22/2021 00:00:00,2019,
Fast Five,09/25/2021 00:00:00,2011,
Dead Ringers,09/26/2021 00:00:00,1988,
Grown Ups,09/28/2021 00:00:00,2010,
The Babysitter: Killer Queen,09/29/2021 00:00:00,2020,
Training Day,09/30/2021 00:00:00,2001,
The Guilty,10/01/2021 00:00:00,2021,
There Will Be Blood,10/02/2021 00:00:00,2007,Yes
Project X,10/03/2021 00:00:00,2012,
Léon: The Professional,10/04/2021 00:00:00,1994,
Observe and Report,10/05/2021 00:00:00,2009,
Layer Cake,10/06/2021 00:00:00,2004,
Dead & Buried,10/07/2021 00:00:00,1981,
Fast & Furious 6,10/09/2021 00:00:00,2013,
The Descent,10/12/2021 00:00:00,2005,
Scream,10/13/2021 00:00:00,1996,
Black Christmas,10/14/2021 00:00:00,1974,
House of 1000 Corpses,10/15/2021 00:00:00,2003,
Frankenhooker,10/16/2021 00:00:00,1990,
Hellraiser,10/17/2021 00:00:00,1987,
Dick Johnson Is Dead,10/18/2021 00:00:00,2020,
The Rocky Horror Picture Show,10/19/2021 00:00:00,1975,
Sleepaway Camp II: Unhappy Campers,10/23/2021 00:00:00,1988,
Dazed and Confused,10/24/2021 00:00:00,1993,Yes
Halloween,10/25/2021 00:00:00,1978,
The Lords of Salem,10/26/2021 00:00:00,2012,
Motel Hell,10/27/2021 00:00:00,1980,
Hatchet,10/30/2021 00:00:00,2006,
We Need to Talk About Kevin,11/01/2021 00:00:00,2011,
Terminator 2: Judgment Day,11/02/2021 00:00:00,1991,
Hard Candy,11/03/2021 00:00:00,2005,
The Night Eats the World,11/04/2021 00:00:00,2018,
Dance of the Dead,11/05/2021 00:00:00,2008,
Midsommar,11/06/2021 00:00:00,2019,
The Vast of Night,11/07/2021 00:00:00,2019,
The Little Girl Who Lives Down the Lane,11/08/2021 00:00:00,1976,
Trees Lounge,11/09/2021 00:00:00,1996,
Delicatessen,11/10/2021 00:00:00,1991,
The Miracle of Life,11/11/2021 00:00:00,2013,
National Lampoon's Loaded Weapon 1,11/12/2021 00:00:00,1993,
Frailty,11/14/2021 00:00:00,2001,
"Paris, Texas",11/15/2021 00:00:00,1984,Yes
Coherence,11/16/2021 00:00:00,2013,
Belly,11/17/2021 00:00:00,1998,
Jasper Mall,11/19/2021 00:00:00,2020,
The Limey,11/20/2021 00:00:00,1999,
Tangerine,11/22/2021 00:00:00,2015,
The Wolf House,11/23/2021 00:00:00,2018,
Girls Just Want to Have Fun,11/24/2021 00:00:00,1985,
How the Grinch Stole Christmas,11/27/2021 00:00:00,2000,
Ernest Saves Christmas,11/28/2021 00:00:00,1988,
Anomalisa,12/02/2021 00:00:00,2015,
Certain Women,12/06/2021 00:00:00,2016,
The Power of the Dog,12/08/2021 00:00:00,2021,
Excision,12/09/2021 00:00:00,2012,
Closer,12/13/2021 00:00:00,2004,
Christine,12/15/2021 00:00:00,2016,
Love Liza,12/16/2021 00:00:00,2002,
Coming Home in the Dark,12/17/2021 00:00:00,2021,
Christmas Break-In,12/19/2021 00:00:00,2018,
London,12/20/2021 00:00:00,2005,
The Lady from Shanghai,12/23/2021 00:00:00,1947,
Arizona,12/26/2021 00:00:00,2018,
Don't Look Up,12/29/2021 00:00:00,2021,
Napoleon Dynamite,01/01/2022 00:00:00,2004,
ABCs of Death 2,01/03/2022 00:00:00,2014,
Raising Victor Vargas,01/05/2022 00:00:00,2002,
Anchorman: The Legend of Ron Burgundy,01/07/2022 00:00:00,2004,
Lost in Translation,01/09/2022 00:00:00,2003,Yes
"Girl, Interrupted",01/11/2022 00:00:00,1999,
The Killing,01/14/2022 00:00:00,1956,
Spider-Man: No Way Home,01/15/2022 00:00:00,2021,
Mr. Peabody & Sherman,01/17/2022 00:00:00,2014,
My Man Godfrey,01/19/2022 00:00:00,1936,
Waitress,01/22/2022 00:00:00,2007,
The House,01/29/2022 00:00:00,2022,
Day of the Reaper,01/29/2022 00:00:00,1984,
"tick, tick...BOOM!",01/30/2022 00:00:00,2021,
The Asphalt Jungle,02/06/2022 00:00:00,1950,
Paddington,02/06/2022 00:00:00,2014,
Phantom Thread,02/11/2022 00:00:00,2017,
Let the Right One In,02/12/2022 00:00:00,2008,
Almost Famous,02/17/2022 00:00:00,2000,
Going in Style,02/19/2022 00:00:00,2017,
After Hours,02/20/2022 00:00:00,1985,Yes
Max Keeble's Big Move,02/23/2022 00:00:00,2001,
The Lighthouse,02/24/2022 00:00:00,2019,
Cashback,02/27/2022 00:00:00,2006,
Booksmart,03/05/2022 00:00:00,2019,
Juno,03/06/2022 00:00:00,2007,
Mission: Impossible,03/13/2022 00:00:00,1996,
Little Miss Sunshine,03/13/2022 00:00:00,2006,
Pumpkinhead,03/20/2022 00:00:00,1988,
I Don't Feel at Home in This World Anymore,03/20/2022 00:00:00,2017,
Titane,03/26/2022 00:00:00,2021,
Suspiria,03/27/2022 00:00:00,2018,
Pig,03/27/2022 00:00:00,2021,
The Tree of Life,04/02/2022 00:00:00,2011,
Encanto,04/09/2022 00:00:00,2021,
Super Dark Times,04/10/2022 00:00:00,2017,
The Girl with the Dragon Tattoo,04/10/2022 00:00:00,2011,
22 Jump Street,04/16/2022 00:00:00,2014,
Black Swan,04/16/2022 00:00:00,2010,
True Grit,04/17/2022 00:00:00,2010,
Easy A,04/24/2022 00:00:00,2010,
Last Action Hero,04/25/2022 00:00:00,1993,
The Wolf of Snow Hollow,04/30/2022 00:00:00,2020,
Evil Dead Trap,05/01/2022 00:00:00,1988,
Portrait of a Lady on Fire,05/01/2022 00:00:00,2019,
House of 1000 Corpses,05/07/2022 00:00:00,2003,Yes
The Other Guys,05/07/2022 00:00:00,2010,
I Know What You Did Last Summer,05/08/2022 00:00:00,1997,
Friday the 13th: The Final Chapter,05/13/2022 00:00:00,1984,
Gretel & Hansel,05/15/2022 00:00:00,2020,
Dead of Night,05/15/2022 00:00:00,1945,
Touch of Evil,05/21/2022 00:00:00,1958,Yes
Tully,05/28/2022 00:00:00,2018,
Chip 'n Dale: Rescue Rangers,05/29/2022 00:00:00,2022,
Shaun of the Dead,05/30/2022 00:00:00,2004,Yes
Small Engine Repair,06/04/2022 00:00:00,2021,
Candyman,06/05/2022 00:00:00,2021,
Marrowbone,06/11/2022 00:00:00,2017,
The Adam Project,06/12/2022 00:00:00,2022,
"Parlor, Bedroom and Bath",06/19/2022 00:00:00,1931,
Star Trek: The Motion Picture,06/19/2022 00:00:00,1979,
Last Night in Soho,06/25/2022 00:00:00,2021,
American Psycho,06/26/2022 00:00:00,2000,Yes
River's Edge,06/26/2022 00:00:00,1986,
Cabin Fever,07/01/2022 00:00:00,2002,
The Bird with the Crystal Plumage,07/05/2022 00:00:00,1970,
Superbad,07/08/2022 00:00:00,2007,
Strangers on a Train,07/09/2022 00:00:00,1951,
Ratcatcher,07/17/2022 00:00:00,1999,Yes
Thor: Love and Thunder,07/18/2022 00:00:00,2022,
Shadow of a Doubt,07/24/2022 00:00:00,1943,
Everything Everywhere All at Once,07/30/2022 00:00:00,2022,
The Sea Wolf,07/30/2022 00:00:00,1941,
Vertigo,07/31/2022 00:00:00,1958,Yes
Everything Everywhere All at Once,08/02/2022 00:00:00,2022,Yes
Nope,08/06/2022 00:00:00,2022,
Midsommar,08/06/2022 00:00:00,2019,Yes
Not Okay,08/07/2022 00:00:00,2022,
The Mist,08/07/2022 00:00:00,2007,
Happy Gilmore,08/13/2022 00:00:00,1996,
Prey,08/14/2022 00:00:00,2022,
Army of Darkness,08/14/2022 00:00:00,1992,
Honor Society,08/17/2022 00:00:00,2022,
Furious 7,08/20/2022 00:00:00,2015,
The Saphead,08/21/2022 00:00:00,1920,
Licorice Pizza,08/21/2022 00:00:00,2021,
Three Ages,08/27/2022 00:00:00,1923,
Deliverance,08/27/2022 00:00:00,1972,
The Great Lie,08/28/2022 00:00:00,1941,
Our Hospitality,09/03/2022 00:00:00,1923,
Three Thousand Years of Longing,09/03/2022 00:00:00,2022,
The Blob,09/03/2022 00:00:00,1958,Yes
"All This, and Heaven Too",09/04/2022 00:00:00,1940,
Maniac,09/10/2022 00:00:00,1980,
Waitress,09/11/2022 00:00:00,2007,Yes
An American Werewolf in London,09/17/2022 00:00:00,1981,
The Navigator,09/17/2022 00:00:00,1924,
Carnival of Souls,09/18/2022 00:00:00,1962,
Teenage Mutant Ninja Turtles,09/18/2022 00:00:00,1990,
Do Revenge,09/24/2022 00:00:00,2022,
The Conjuring 2,09/24/2022 00:00:00,2016,Yes
The Darjeeling Limited,09/25/2022 00:00:00,2007,
Go West,09/25/2022 00:00:00,1925,
Force Majeure,10/01/2022 00:00:00,2014,
Psycho,10/01/2022 00:00:00,1960,Yes
They Drive by Night,10/08/2022 00:00:00,1940,
Halloween,10/09/2022 00:00:00,2018,
The Thing,10/09/2022 00:00:00,1982,Yes
Spring Breakers,10/13/2022 00:00:00,2012,Yes
Blow Out,10/15/2022 00:00:00,1981,Yes
Chronicle,10/16/2022 00:00:00,2012,
Clear and Present Danger,10/16/2022 00:00:00,1994,
X,10/22/2022 00:00:00,2022,
Red Rocket,10/22/2022 00:00:00,2021,
Dressed to Kill,10/23/2022 00:00:00,1980,
Breakfast at Tiffany's,10/29/2022 00:00:00,1961,
Spun,10/29/2022 00:00:00,2002,
Gonjiam: Haunted Asylum,10/30/2022 00:00:00,2018,
Dead End,11/05/2022 00:00:00,1937,
Swing Time,11/05/2022 00:00:00,1936,
After Hours,11/06/2022 00:00:00,1985,Yes
Saboteur,11/12/2022 00:00:00,1942,
The Fog,11/12/2022 00:00:00,1980,
The Crazies,11/19/2022 00:00:00,1973,
The Incredible Shrinking Man,11/19/2022 00:00:00,1957,Yes
"Paris, Je T'Aime",11/20/2022 00:00:00,2006,
He Walked by Night,11/20/2022 00:00:00,1948,
"Faster, Pussycat! Kill! Kill!",11/26/2022 00:00:00,1965,
The Wonder,11/27/2022 00:00:00,2022,
Solaris,11/27/2022 00:00:00,1972,Yes
Black Panther: Wakanda Forever,12/01/2022 00:00:00,2022,
Enola Holmes 2,12/03/2022 00:00:00,2022,
Night of the Living Dead,12/03/2022 00:00:00,1968,Yes
Crimes of the Future,12/04/2022 00:00:00,2022,
Midnight,12/04/2022 00:00:00,2021,
Children Shouldn't Play with Dead Things,12/10/2022 00:00:00,1972,
28 Weeks Later,12/11/2022 00:00:00,2007,
Guillermo del Toro's Pinocchio,12/11/2022 00:00:00,2022,
Memories of Murder,12/17/2022 00:00:00,2003,
How the Grinch Stole Christmas,12/17/2022 00:00:00,2000,Yes
Moonstruck,12/18/2022 00:00:00,1987,
Elf,12/18/2022 00:00:00,2003,Yes
Naughty Marietta,12/19/2022 00:00:00,1935,
Glass Onion: A Knives Out Mystery,12/31/2022 00:00:00,2022,
Dawn of the Dead,01/01/2023 00:00:00,1978,Yes
Bullet Train,01/01/2023 00:00:00,2022,
The Black Phone,01/07/2023 00:00:00,2021,
The 'Burbs,01/07/2023 00:00:00,1989,
Dope,01/08/2023 00:00:00,2015,
Frances Ha,01/08/2023 00:00:00,2012,
Now You See Me,01/11/2023 00:00:00,2013,
Friday the 13th: A New Beginning,01/13/2023 00:00:00,1985,
God Told Me To,01/14/2023 00:00:00,1976,
Everything Everywhere All at Once,01/14/2023 00:00:00,2022,Yes
Killer Klowns from Outer Space,01/21/2023 00:00:00,1988,
El Mariachi,01/21/2023 00:00:00,1992,
In the Heat of the Night,01/22/2023 00:00:00,1967,
Dazed and Confused,01/22/2023 00:00:00,1993,Yes
Escape from New York,01/27/2023 00:00:00,1981,
Serpico,01/28/2023 00:00:00,1973,
Halloween Kills,01/29/2023 00:00:00,2021,
Tales from the Darkside: The Movie,01/29/2023 00:00:00,1990,
"O Brother, Where Art Thou?",02/04/2023 00:00:00,2000,
Blue Velvet,02/04/2023 00:00:00,1986,Yes
Thelma & Louise,02/05/2023 00:00:00,1991,
Devil in a Blue Dress,02/05/2023 00:00:00,1995,
Now You See Me 2,02/08/2023 00:00:00,2016,
A Quiet Place,02/10/2023 00:00:00,2018,
V for Vendetta,02/11/2023 00:00:00,2005,
The French Dispatch,02/17/2023 00:00:00,2021,
Sicario,02/18/2023 00:00:00,2015,
The Unbearable Weight of Massive Talent,02/18/2023 00:00:00,2022,
Halloween Ends,02/19/2023 00:00:00,2022,
The Iron Rose,02/19/2023 00:00:00,1973,
Smile,02/25/2023 00:00:00,2022,
GoodFellas,02/25/2023 00:00:00,1990,Yes
The Relic,02/26/2023 00:00:00,1997,
Minority Report,02/26/2023 00:00:00,2002,
The Devil's Backbone,03/04/2023 00:00:00,2001,
Ink,03/04/2023 00:00:00,2009,
21 Jump Street,03/05/2023 00:00:00,2012,
Duck Soup,03/05/2023 00:00:00,1933,
